Key,Desc,Default,English
LayoutZoneGroupObjects,,"When new objects are added to a zone, they will be gathered into groups of this many objects.","When new objects are added to a zone, they will be gathered into groups of this many objects."
LayoutZoneHorizontalPadding,,How much horizontal space is inserted between groups.,How much horizontal space is inserted between groups.
LayoutZoneHorizontalSpread,,How far each object in a group is moved horizontally from the previous object.,How far each object in a group is moved horizontally from the previous object.
LayoutZoneManualTooltip,,The zone will not automatically lay out objects: it must be triggered manually.,The zone will not automatically lay out objects: it must be triggered manually.
LayoutZoneMaxGroupObjects,,Each group in the zone may not contain more than this number of objects.,Each group in the zone may not contain more than this number of objects.
LayoutZoneNonCards,,Non-card components dropped on zone will be layed out.,Non-card components dropped on zone will be layed out.
LayoutZonePadding,,How much space is inserted between groups layed out in the zone.,How much space is inserted between groups layed out in the zone.
LayoutZoneRandomizeTooltip,,Objects will be randomized whenever they are layed out.,Objects will be randomized whenever they are layed out.
LayoutZoneSort,,How groups are sorted internally.,How groups are sorted internally.
LayoutZoneSortExisting,,"When enabled all groups will be sorted when layed out, rather than only newly added groups.","When enabled all groups will be sorted when layed out, rather than only newly added groups."
LayoutZoneSplitTooltip,,Decks added to the zone will be split into their individual cards.,Decks added to the zone will be split into their individual cards.
LayoutZoneSpread,,How far apart objects within a group are spread.,How far apart objects within a group are spread.
LayoutZoneVerticalPadding,,How much vertical space is inserted between groups.,How much vertical space is inserted between groups.
LayoutZoneVerticalSpread,,How far each object in a group is moved vertically from the previous object.,How far each object in a group is moved vertically from the previous object.
"Lead, Code, Design",,"Lead, Code, Design","Lead, Code, Design"
Learn the basics in this short tutorial.,,Learn the basics in this short tutorial.,Learn the basics in this short tutorial.
Left,,Left,Left
Left Pad Down,,Left Pad Down,Left Pad Down
Left Tool Hotkeys,,Left Tool Hotkeys,Left Tool Hotkeys
Let Game Set Theme,,Let Game Set Theme,Let Game Set Theme
Let's get a better look!,,Let's get a better look!,Let's get a better look!
Lets players choose which color to pass their turn to.,,Lets players choose which color to pass their turn to.,Lets players choose which color to pass their turn to.
Lift Height,,Lift Height,Lift Height
Light,,Light,Light
Light Color,,Light Color,Light Color
Light Intensity,,Light Intensity,Light Intensity
Like this!,,Like this!,Like this!
Limits FPS to monitor refresh rate (Hz) to eliminate screen tearing. FPS drops with vsync on will introduce stuttering and will increase input lag.,,Limits FPS to monitor refresh rate (Hz) to eliminate screen tearing. FPS drops with vsync on will introduce stuttering and will increase input lag.,Limits FPS to monitor refresh rate (Hz) to eliminate screen tearing. FPS drops with vsync on will introduce stuttering and will increase input lag.
Limits FPS to monitor refresh rate (Hz) to reduce system usage. Great for laptops.,,Limits FPS to monitor refresh rate (Hz) to reduce system usage. Great for laptops.,Limits FPS to monitor refresh rate (Hz) to reduce system usage. Great for laptops.
Line,,Line,Line
Line Thickness,,Line Thickness,Line Thickness
Line Tool,,Line Tool,Line Tool
Lines,,Lines,Lines
Liquorish,,Liquorish,Liquorish
Living Dead,,Living Dead,Living Dead
Lizard Warrior,,Lizard Warrior,Lizard Warrior
Lizards,,Lizards,Lizards
Load,,Load,Load
Load Camera,,Load Camera,Load Camera
Load Camera View,,Load Camera View,Load Camera View
Loaded,,Loaded,Loaded
Loading,,Loading,Loading
Loading...,,Loading...,Loading...
Local,,Local,Local
Local: Gizmos are in selected object's rotation. Global: Gizmos are in global rotation.,,Local: Gizmos are in selected object's rotation. Global: Gizmos are in global rotation.,Local: Gizmos are in selected object's rotation. Global: Gizmos are in global rotation.
Lock,,Lock,Lock
Lock the X and Y size together.,,Lock the X and Y size together.,Lock the X and Y size together.
Locked,,Locked,Locked
Locking,,Locking,Locking
Log,,Log,Log
Logging,,Logging,Logging
Long press on an object to bring it up.,,Long press on an object to bring it up.,Long press on an object to bring it up.
Look Speed,,Look Speed,Look Speed
Looking For Players,,Looking For Players,Looking For Players
Looping Effect,,Looping Effect,Looping Effect
Low,,Low,Low
Low Complexity,,Low Complexity,Low Complexity
Lower-Multi-Grab,,Lower/Multi-Grab,Lower/Multi-Grab
Lua scripts automatically execute on load.,,Lua scripts automatically execute on load.,Lua scripts automatically execute on load.
Lut Name,,Lut Name,Lut Name
MANIPULATED_THE_DECK,,manipulated the deck,manipulated the deck
MINIMAL_COLLIDER,,Minimal Collider,Minimal Collider
MINIMAL_COLLIDER_DESCRIPTION,,If enabled then the figurine will only collide at its center.,If enabled then the figurine will only collide at its center.
MIRROR,,Mirror,Mirror
MIRROR_FIGURINE_BACK,,MIrror the back of the figurine. Leaving the back texture url empty will use the front texture.,MIrror the back of the figurine. Leaving the back texture url empty will use the front texture.
MODEL,,MODEL,MODEL
MODIFIERS,,Modifiers,Modifiers
MORE,,More,More
MSAA,,MSAA,MSAA
Mage,,Mage,Mage
Magnify,,Magnify,Magnify
Mahjong,,Mahjong,Mahjong
Main,,Main,Main
Main Menu,,Main Menu,Main Menu
Main Menu Volume,,Main Menu Volume,Main Menu Volume
Manticora,,Manticora,Manticora
Manual Only,,Manual Only,Manual Only
Map,,Map,Map
Marbles,,Marbles,Marbles
Mass,,Mass,Mass
Master Volume,,Master Volume,Master Volume
Matching Custom Object Query,,Matching Custom Object Query,Matching Custom Object Query
Material,,Material,Material
Mature Games,,Mature Games,Mature Games
Max,,Max,Max
Max Distance,,Max Distance,Max Distance
Max Objects Per Group,,Max. Objects Per Group,Max. Objects Per Group
Max Players,,Max Players,Max Players
Max Players (2-8),,Max Players (2-8),Max Players (2-8)
Measure Arrows Angle,,Measure Arrows Angle,Measure Arrows Angle
Measure Font Size,,Measure Font Size,Measure Font Size
Measure Movement,,Measure Movement,Measure Movement
Measure tool will automatically be used when moving this object.,,Measure tool will automatically be used when moving this object.,Measure tool will automatically be used when moving this object.
Medium,,Medium,Medium
Medium Complexity,,Medium Complexity,Medium Complexity
Memory Games,,Memory Games,Memory Games
Menu,,Menu,Menu
Merge Distance,,Merge Distance,Merge Distance
Message,,Message,Message
Metal,,Metal,Metal
Microphone,,Microphone,Microphone
Min,,Min,Min
Min Distance,,Min Distance,Min Distance
Miniature Games,,Miniature Games,Miniature Games
Misc,,Misc,Misc
Misc. Settings,,Misc. Settings,Misc. Settings
Misc. Settings...,,Misc. Settings...,Misc. Settings...
Miscellaneous,,Miscellaneous,Miscellaneous
Missing Binding Warning,,Missing Binding Warning,Missing Binding Warning
Mistfall,,Mistfall,Mistfall
Mod Caching,,Mod Caching,Mod Caching
Mod Save Location,,Mod Save Location,Mod Save Location
Mod Threading,,Mod Threading,Mod Threading
Modding,,Modding,Modding
Mode,,Mode,Mode
Model-Mesh,,Model/Mesh,Model/Mesh
Moons,,Moons,Moons
Moons Coin 2,,Moons Coin 2,Moons Coin 2
Moons Coin 3,,Moons Coin 3,Moons Coin 3
Moons Coin 4,,Moons Coin 4,Moons Coin 4
Moons Coin 5,,Moons Coin 5,Moons Coin 5
Moons Coin Ace,,Moons Coin Ace,Moons Coin Ace
Moons Coin Blank,,Moons Coin Blank,Moons Coin Blank
Moons Dice,,Moons Dice,Moons Dice
Moons Square 2,,Moons Square 2,Moons Square 2
Moons Square 3,,Moons Square 3,Moons Square 3
Moons Square 4,,Moons Square 4,Moons Square 4
Moons Square 5,,Moons Square 5,Moons Square 5
Moons Square Ace,,Moons Square Ace,Moons Square Ace
Moons Square Blank,,Moons Square Blank,Moons Square Blank
Motor Force,,Motor Force,Motor Force
Motor Free Spin,,Motor Free Spin,Motor Free Spin
Motor Velocity,,Motor Velocity,Motor Velocity
Mouse Shake Threshold,,Mouse Shake Threshold,Mouse Shake Threshold
Move,,Move,Move
Move Camera,,Move Camera,Move Camera
Move FrictioN,,Move FrictioN,Move FrictioN
Move With Inertia,,Move With Inertia,Move With Inertia
Move the position of the grid to fit your layout.,,Move the position of the grid to fit your layout.,Move the position of the grid to fit your layout.
"Move your camera where you want, press & a number to save its position. You can also do this in the Global Contextual Menu.",,"Move your camera where you want, press & a number to save its position. You can also do this in the Global Contextual Menu.","Move your camera where you want, press & a number to save its position. You can also do this in the Global Contextual Menu."
Move {0}?,,Move {0}?,Move {0}?
Movement Speed,,Movement Speed,Movement Speed
"Moves the camera forward, backwards and side to side. Pressing and holding the middle mouse button will pan the camera around.",,"Moves the camera forward, backwards and side to side. Pressing and holding the middle mouse button will pan the camera around.","Moves the camera forward, backwards and side to side. Pressing and holding the middle mouse button will pan the camera around."
Moves the position of the camera. You can also press and hold the middle mouse button to pan around.,,Moves the position of the camera. You can also press and hold the middle mouse button to pan around.,Moves the position of the camera. You can also press and hold the middle mouse button to pan around.
Mp3 Player,,MP3 Player,MP3 Player
Mp3 Volume,,MP3 Volume,MP3 Volume
Multi-Select,,Multi-Select,Multi-Select
Multiplayer,,Multiplayer,Multiplayer
Mummy,,Mummy,Mummy
Museum,,Museum,Museum
Music,,Music,Music
Music Player,,Music Player,Music Player
Muted,,Muted,Muted
Mythological,,Mythological,Mythological
NA,,NA,NA
NAT,,NAT,NAT
NAT Punchthrough is a way the game tries to get around manual port forwarding.,,NAT Punchthrough is a way the game tries to get around manual port forwarding.,NAT Punchthrough is a way the game tries to get around manual port forwarding.
NORTHWARD,,Northward,Northward
Name,,Name,Name
Name MSG,,Name MSG,Name MSG
Negative Typed Numbers,,Negative Typed Numbers,Negative Typed Numbers
New Label,,New Label,New Label
New snap points will have these tags.,,New snap points will have these tags.,New snap points will have these tags.
Next State,,Next State,Next State
Nice shaking! Now let's rotate the camera.,,Nice shaking! Now let's rotate the camera.,Nice shaking! Now let's rotate the camera.
Nice! Now let's shuffle the deck of cards.,,Nice! Now let's shuffle the deck of cards.,Nice! Now let's shuffle the deck of cards.
