Key,Desc,Default,Chinese (Traditional)
LayoutZoneAllowSwapping,,"When moving an object from one full group to another, the object you drop on will be moved to the original group.",移動物件從一個達到上限的分組到另一個分組時，放下的物件會移回原來的分組。
LayoutZoneAlternateDirection,,"Objects added to a group will be aligned up or right, different from the preceding object in the group.  Used, for example, in trick-taking games to make counting easier.",新增至分組的物件會向上或向右對齊，與分組內之前的物件不同。使用場景例如吃磴遊戲中使計數更加容易。
LayoutZoneCardsPerDeck,,Sets the size of decks made by the layout zone when it combines newly added cards.,設定佈置區合併新增卡片時生成的牌堆數量。
LayoutZoneCombineIntoDecks,,Whether cards added to the zone should be combined into decks.  You may specify the number of cards per deck.,新增至區域的任何卡片都會合併進入牌堆。您可以特定每組卡片數量。
LayoutZoneComponents,,"Which components will be added to the zone, and how.",哪些配件可以新增至區域，以及新增方式。
LayoutZoneDirection,,The directions the groups in the zone expand into.  This will determine the origin corner.,區域內分組展開的方向。此動作會決定原始角度。
LayoutZoneFaceDown,,Face-Down components dropped on zone will be layed out.,面朝下的配件放入區域會自動佈置。
LayoutZoneFaceUp,,Face-Up components dropped on zone will be layed out.,面朝上的配件放入區域會自動佈置。
LayoutZoneFacing,,Determines whether newly added objects are turned face-up or face-down.,設定新增物件轉為面朝上或面朝下。
LayoutZoneGroupDirection,,The direction the objects within a group will expand into.,分組內物件展開的方向。
LayoutZoneGroupObjects,,"When new objects are added to a zone, they will be gathered into groups of this many objects.",新增物件至區域時，自動以此數量分組。
LayoutZoneHorizontalPadding,,How much horizontal space is inserted between groups.,每組之間的水平距離。
LayoutZoneHorizontalSpread,,How far each object in a group is moved horizontally from the previous object.,分組內物件之間水平移動的距離。
LayoutZoneManualTooltip,,The zone will not automatically lay out objects: it must be triggered manually.,區域停止自動佈置物件：必須手動佈置。
LayoutZoneMaxGroupObjects,,Each group in the zone may not contain more than this number of objects.,區域內的分組可能無法容納超過此數量的物件。
LayoutZoneNonCards,,Non-card components dropped on zone will be layed out.,非卡片配件放入區域時自動佈置。
LayoutZonePadding,,How much space is inserted between groups layed out in the zone.,區域內每組之間的佈置距離。
LayoutZoneRandomizeTooltip,,Objects will be randomized whenever they are layed out.,每次都會隨機佈置物件。
LayoutZoneSort,,How groups are sorted internally.,分組內的排序方式。
LayoutZoneSortExisting,,"When enabled all groups will be sorted when layed out, rather than only newly added groups.",預設僅對新增分組排序，啟用後每次都對所有分組排序。
LayoutZoneSplitTooltip,,Decks added to the zone will be split into their individual cards.,新增牌堆至區域會自動分牌。
LayoutZoneSpread,,How far apart objects within a group are spread.,分組內擺列物件的距離。
LayoutZoneVerticalPadding,,How much vertical space is inserted between groups.,每組之間的垂直距離。
LayoutZoneVerticalSpread,,How far each object in a group is moved vertically from the previous object.,分組內物件之間垂直移動的距離。
"Lead, Code, Design",,"Lead, Code, Design",指導、程式碼、設計
Learn the basics in this short tutorial.,,Learn the basics in this short tutorial.,在這場簡短的教學中學習一些基礎知識。
Left,,Left,左
Left Pad Down,,Left Pad Down,左側十字鍵（下）
Left Tool Hotkeys,,Left Tool Hotkeys,左側工具快速鍵
Let Game Set Theme,,Let Game Set Theme,允許遊戲設定主題
Let's get a better look!,,Let's get a better look!,讓我們以更佳的視角看看物件吧！
Lets players choose which color to pass their turn to.,,Lets players choose which color to pass their turn to.,允許玩家選擇特定顏色跳過回合。
Lift Height,,Lift Height,撿起高度
Light,,Light,光照
Light Color,,Light Color,光照顏色
Light Intensity,,Light Intensity,光照強度
Like this!,,Like this!,像這樣子！
Limits FPS to monitor refresh rate (Hz) to eliminate screen tearing. FPS drops with vsync on will introduce stuttering and will increase input lag.,,Limits FPS to monitor refresh rate (Hz) to eliminate screen tearing. FPS drops with vsync on will introduce stuttering and will increase input lag.,限制畫面幀率為螢幕更新率，減少畫面撕裂。啟用垂直同步的幀率下降會導致畫面卡頓和輸入延遲。
Limits FPS to monitor refresh rate (Hz) to reduce system usage. Great for laptops.,,Limits FPS to monitor refresh rate (Hz) to reduce system usage. Great for laptops.,限制幀率為螢幕更新率，減少系統使用率。建議筆電啟用。
Line,,Line,直線
Line Thickness,,Line Thickness,直線粗細
Line Tool,,Line Tool,直線工具
Lines,,Lines,直線
Liquorish,,Liquorish,Liquorish
Living Dead,,Living Dead,活死人之夜
Lizard Warrior,,Lizard Warrior,巫師戰士
Lizards,,Lizards,巫師
Load,,Load,載入
Load Camera,,Load Camera,載入鏡頭
Load Camera View,,Load Camera View,載入鏡頭視角
Loaded,,Loaded,已載入
Loading,,Loading,載入中
Loading...,,Loading...,載入中……
Local,,Local,區域
Local: Gizmos are in selected object's rotation. Global: Gizmos are in global rotation.,,Local: Gizmos are in selected object's rotation. Global: Gizmos are in global rotation.,"區域：使用物件坐標系。
全域：使用全域坐標系。"
Lock,,Lock,鎖定
Lock the X and Y size together.,,Lock the X and Y size together.,鎖定長寬比例。
Locked,,Locked,鎖定
Locking,,Locking,鎖定
Log,,Log,記錄
Logging,,Logging,記錄中
Long press on an object to bring it up.,,Long press on an object to bring it up.,在物件上長按拿取。
Look Speed,,Look Speed,鏡頭移動速度
Looking For Players,,Looking For Players,搜尋玩家
Looping Effect,,Looping Effect,循環效果
Low,,Low,低
Low Complexity,,Low Complexity,低難度
Lower-Multi-Grab,,Lower/Multi-Grab,放下／多次拿取
Lua scripts automatically execute on load.,,Lua scripts automatically execute on load.,載入時自動執行 Lua 腳本。
Lut Name,,Lut Name,LUT 名稱
MANIPULATED_THE_DECK,,manipulated the deck,控牌
MODEL,,MODEL,模型
MODIFIERS,,Modifiers,調整
MORE,,More,更多
MSAA,,MSAA,MSAA
Mage,,Mage,法師
Magnify,,Magnify,放大鏡
Mahjong,,Mahjong,麻將
Main,,Main,主要
Main Menu,,Main Menu,主選單
Main Menu Volume,,Main Menu Volume,主選單音量
Manticora,,Manticora,蠍獅
Manual Only,,Manual Only,僅手動
Map,,Map,地圖
Mara,,,妖魔
Marbles,,Marbles,彈珠
Mass,,Mass,質量
Master Volume,,Master Volume,主持者音量
Matching Custom Object Query,,Matching Custom Object Query,符合的自訂物件查詢
Material,,Material,材質
Mature Games,,Mature Games,心理遊戲
Max,,Max,最大
Max Distance,,Max Distance,最長距離
Max Objects Per Group,,Max. Objects Per Group,每組最大物件數
Max Players,,Max Players,最大玩家數
Max Players (2-8),,Max Players (2-8),最大玩家數（2 到 8 人）
Measure Arrows Angle,,Measure Arrows Angle,測量箭頭角度
Measure Font Size,,Measure Font Size,測量字型大小
Measure Movement,,Measure Movement,移動時自動測距
Measure tool will automatically be used when moving this object.,,Measure tool will automatically be used when moving this object.,測量工具在移動此物件時將自動啟用。
Medium,,Medium,中
Medium Complexity,,Medium Complexity,中難度
Memory Games,,Memory Games,記憶遊戲
Menu,,Menu,選單
Merge Distance,,Merge Distance,合併距離
Message,,Message,訊息
Metal,,Metal,金屬製
Microphone,,Microphone,麥克風
Min,,Min,最小
Min Distance,,Min Distance,最短距離
Miniature Games,,Miniature Games,小型遊戲
Misc,,Misc,雜項
Misc. Settings,,Misc. Settings,雜項設定
Misc. Settings...,,Misc. Settings...,雜項設定……
Miscellaneous,,Miscellaneous,雜項
Missing Binding Warning,,Missing Binding Warning,綁定遺失警告
Mistfall,,Mistfall,Mistfall
Mod Caching,,Mod Caching,模組快取
Mod Save Location,,Mod Save Location,模組儲存位置
Mod Threading,,Mod Threading,多執行緒模組載入
Modding,,Modding,模組
Mode,,Mode,模式
Model-Mesh,,Model/Mesh,模型／網格
Moons,,Moons,月亮
Moons Coin 2,,Moons Coin 2,月亮硬幣 2
Moons Coin 3,,Moons Coin 3,月亮硬幣 3
Moons Coin 4,,Moons Coin 4,月亮硬幣 4
Moons Coin 5,,Moons Coin 5,月亮硬幣 5
Moons Coin Ace,,Moons Coin Ace,月亮硬幣 A
Moons Coin Blank,,Moons Coin Blank,月亮硬幣 空白
Moons Dice,,Moons Dice,月亮骰子
Moons Square 2,,Moons Square 2,月亮方塊 2
Moons Square 3,,Moons Square 3,月亮方塊 3
Moons Square 4,,Moons Square 4,月亮方塊 4
Moons Square 5,,Moons Square 5,月亮方塊 5
Moons Square Ace,,Moons Square Ace,月亮方塊 A
Moons Square Blank,,Moons Square Blank,月亮方塊 空白
Motor Force,,Motor Force,驅動力
Motor Free Spin,,Motor Free Spin,持續旋轉驅動力
Motor Velocity,,Motor Velocity,驅動速度
Mouse Shake Threshold,,Mouse Shake Threshold,滑鼠搖動閾值
Move,,Move,移動
Move Camera,,Move Camera,移動鏡頭
Move FrictioN,,Move FrictioN,移動摩擦力
Move With Inertia,,Move With Inertia,移動慣性
Move the position of the grid to fit your layout.,,Move the position of the grid to fit your layout.,移動網格位置以符合佈置。
"Move your camera where you want, press & a number to save its position. You can also do this in the Global Contextual Menu.",,"Move your camera where you want, press & a number to save its position. You can also do this in the Global Contextual Menu.",移動鏡頭至想要的角度，使用數字鍵儲存位置。您也可以在全域環境選單中執行此動作。
Move {0}?,,Move {0}?,是否要移動{0}呢？
Movement Speed,,Movement Speed,鏡頭移動速度
"Moves the camera forward, backwards and side to side. Pressing and holding the middle mouse button will pan the camera around.",,"Moves the camera forward, backwards and side to side. Pressing and holding the middle mouse button will pan the camera around.",使用方向鍵移動鏡頭。按住＜滑鼠中鍵＞可以調整鏡頭角度。
Moves the position of the camera. You can also press and hold the middle mouse button to pan around.,,Moves the position of the camera. You can also press and hold the middle mouse button to pan around.,移動鏡頭位置。您也可以按住＜滑鼠中鍵＞可以調整角度。
Mp3 Player,,MP3 Player,MP3 播放器
Mp3 Volume,,MP3 Volume,MP3 音量
Multi-Select,,Multi-Select,多選
Multiplayer,,Multiplayer,多人遊戲
Mummy,,Mummy,木乃伊
Museum,,Museum,博物館
Music,,Music,音樂
Music Player,,Music Player,音樂播放器
Muted,,Muted,已靜音
Mythological,,Mythological,神話
NA,,NA,不適用
NAT,,NAT,NAT 穿透
NAT Punchthrough is a way the game tries to get around manual port forwarding.,,NAT Punchthrough is a way the game tries to get around manual port forwarding.,NAT 穿透是遊戲嘗試繞過手動通訊埠轉發的一種方法。
NORTHWARD,,Northward,向北
Name,,Name,名稱
Name MSG,,Name MSG,名字 訊息
Negative Typed Numbers,,Negative Typed Numbers,輸入的數字無效
New Label,,New Label,新標籤
New snap points will have these tags.,,New snap points will have these tags.,新增吸附點將會擁有這些標籤。
Next State,,Next State,下一狀態
Nice shaking! Now let's rotate the camera.,,Nice shaking! Now let's rotate the camera.,擲得真棒！現在來旋轉一下鏡頭吧。
Nice! Now let's shuffle the deck of cards.,,Nice! Now let's shuffle the deck of cards.,太好啦！現在將這副牌堆洗牌吧！
"Nice! Now let's spin our view. Hold ({0}) on both controllers, then move your hands as if you were turning a wheel.",,"Nice! Now let's spin our view.
Hold <{0}> on both controllers,
then move your hands as if you were turning a wheel.","很棒！現在來旋轉我們的視角。
按住控制器的兩個＜{0}＞，
然後像轉動車輪一樣移動您的手牌區。"
No,,No,否
No Log,,No Log,無記錄
No special properties.,,No special properties.,沒有特別屬性。
